_id,bio,college,country,createdAt,dob,email,face_detection_probabilities,gender,height,interests,is_habit_drink,is_habit_smoke,is_verified,mobile,name,status,type,updatedAt,verified_at,what_to_find,who_to_date,is_subscribed,clg,age
11,🙂,JNU,IN,2023-02-07T08:59:22.053Z,2000-07-18,9110000000@get.idyll,[40.39326310157776],F,156.0,"['Documentaries', 'Horror', 'Cycling', 'Mountains', 'Coffee']",S,S,True,9110000000,Maya,True,U,2023-02-21T19:49:54.828Z,,CON,M,True,JNU,23.0
13,Yoyoyotot,Chandigarh ,IN,2023-02-07T09:33:08.181Z,2000-02-25,9130000000@get.idyll,,M,171.0,"['Badminton', 'Photography', 'Dancing', 'Art & Craft', 'Writing']",S,N,False,9130000000,Mayank Virmani,True,U,2023-02-10T06:12:43.333Z,,C,F,True,chandigarh ,23.0
14,"I'm a 20 year old engineering student in Computer Science, with a passion for fitness and singing. I'm always looking to meet new people and explore new opportunities.",Heritage Institute of Technology ,IN,2023-02-07T10:12:22.774Z,2002-03-17,9140000000@get.idyll,,M,188.0,"['Singing', 'Horror', 'Comedy', 'Gym', 'Swimming']",S,N,True,9140000000,Sayantan,True,U,2023-02-15T14:17:29.945Z,2023-02-15T14:17:29.944Z,F,F,True,HERITAGE,21.0
17,"Insta - ayushrajput237
I am someone whom you should like",Jawaharlal Nehru University,IN,2023-02-07T10:32:15.962Z,2004-12-20,9170000000@get.idyll,[],M,176.0,"['Cricket', 'Badminton', 'Comedy', 'Open-Minded', 'Festivals']",N,N,True,9170000000,Ayush Anand ,True,U,2023-02-15T14:17:29.945Z,2023-02-15T14:17:29.944Z,NS,F,True,JNU,19.0
20,"Love driving ,businessman ,gym lover",Bansal traders,IN,2023-02-07T12:05:07.995Z,1996-05-11,9200000000@get.idyll,,M,5.8,"['Gym', 'Camping', 'Backpacking', 'Mountains', 'Swimming']",S,S,False,9200000000,Varun,True,U,2023-02-07T12:08:02.397Z,,C,F,True,bansal traders,27.0
22,🌷,Jnu,IN,2023-02-07T13:03:27.881Z,2003-03-05,9220000000@get.idyll,,F,152.0,"['Singing', 'Design']",N,N,False,9220000000,Riya,True,U,2023-02-07T13:10:02.935Z,,F,A,True,JNU,20.0
26,... ,Jawaharlal Nehru University,IN,2023-02-07T14:30:29.460Z,2001-11-22,9260000000@get.idyll,,M,178.0,"['Yoga', 'Gym', 'Cooking', 'Biryani', 'Coffee']",S,N,False,9260000000,Sankalp ,True,U,2023-02-10T06:51:02.219Z,,NS,F,True,JNU,22.0
29,Undescribable,JNU,IN,2023-02-07T16:14:57.156Z,2000-02-07,9290000000@get.idyll,,M,181.0,"['LGBTQIA+ ally', 'Writing']",S,N,False,9290000000,Vinay,True,U,2023-02-07T16:17:44.827Z,,C,F,True,JNU,23.0
31,Very boring person i am,Jawaharlal Nehru University,IN,2023-02-07T16:26:14.012Z,2001-12-22,9310000000@get.idyll,"[89.75738286972046,69.68415975570679,80.83032369613647,58.04235339164734]",M,182.0,"['Biryani', 'Badminton', 'Volleyball', 'Whiskey', 'Anime']",O,O,True,9310000000,Abhinav,True,U,2023-03-01T15:26:46.164Z,2023-02-23T04:57:42.459Z,CON,F,True,JNU,22.0
32,Boy ,Jnu,IN,2023-02-07T16:41:47.208Z,2000-09-14,9320000000@get.idyll,,M,153.45209603024577,"['Writing', 'Cricket', 'Gym', 'Cooking', 'Ambitions']",S,S,False,9320000000,Akshay ,True,U,2023-02-07T16:57:18.449Z,,NS,F,True,JNU,23.0
33,"Hey, always happy is the key of success",JNU,IN,2023-02-07T16:50:27.915Z,2001-02-02,9330000000@get.idyll,[],M,167.0,"['Open-Minded', 'Romantic', 'Romance', 'Vegetarian', 'Festivals']",N,N,False,9330000000,Prakash,True,U,2023-02-07T16:57:02.767Z,,R,F,True,JNU,22.0
35,,Jawaharlal Nehru University,IN,2023-02-07T19:42:49.701Z,1997-12-31,9350000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Singing', 'Romantic', 'Design']",S,O,False,9350000000,Aakriti Karn,True,U,2023-02-07T19:42:50.054Z,,F,M,True,JNU,26.0
36,,Jawaharlal Nehru University,IN,2023-02-07T19:42:50.472Z,2000-12-31,9360000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Romance', 'Reels', 'Singing']",N,O,False,9360000000,Aarushi Nathani,True,U,2023-02-07T19:42:50.942Z,,CON,M,True,JNU,23.0
37,,Jawaharlal Nehru University,IN,2023-02-07T19:42:51.274Z,2001-12-31,9370000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Art & Craft', 'Dancing', 'Open-Minded']",S,O,False,9370000000,Aastha Shaw,True,U,2023-02-07T19:42:51.613Z,,NS,M,True,JNU,22.0
38,,Jawaharlal Nehru University,IN,2023-02-07T19:42:51.959Z,2000-12-31,9380000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Romance', 'Festivals', 'Design']",S,S,False,9380000000,Abhita BalaKrishnan,True,U,2023-02-07T19:42:52.295Z,,R,M,True,JNU,23.0
39,,Jawaharlal Nehru University,IN,2023-02-07T19:42:52.631Z,2000-12-31,9390000000@get.idyll,,F,153.45209603024577,"['Singing', 'Design', 'Dancing', 'Writing']",S,S,False,9390000000,Akshitah Chaturvedi,True,U,2023-02-07T19:42:52.972Z,,CON,M,True,JNU,23.0
40,,Jawaharlal Nehru University,IN,2023-02-07T19:42:53.317Z,1999-12-31,9400000000@get.idyll,,F,153.45209603024577,"['Singing', 'Festivals', 'Art & Craft', 'Vegetarian']",N,N,False,9400000000,Alka Banerjee,True,U,2023-02-07T19:42:53.666Z,,C,M,True,JNU,24.0
41,,Jawaharlal Nehru University,IN,2023-02-07T19:42:54.018Z,1998-12-31,9410000000@get.idyll,,F,153.45209603024577,"['Design', 'Writing', 'Reels', 'Festivals']",S,N,False,9410000000,Anushka Kohle,True,U,2023-02-07T19:42:54.352Z,,F,M,True,JNU,25.0
42,,Jawaharlal Nehru University,IN,2023-02-07T19:42:54.687Z,1997-12-31,9420000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Romance', 'Reels', 'Art & Craft']",O,O,False,9420000000,Chhavi Bhatt,True,U,2023-02-07T19:42:55.022Z,,R,M,True,JNU,26.0
43,,Jawaharlal Nehru University,IN,2023-02-07T19:42:55.363Z,1999-12-31,9430000000@get.idyll,,F,153.45209603024577,"['Reels', 'Festivals', 'Dancing', 'Design']",O,N,False,9430000000,Deepti katrawat,True,U,2023-02-07T19:42:55.701Z,,C,M,True,JNU,24.0
44,,Jawaharlal Nehru University,IN,2023-02-07T19:42:56.033Z,2000-12-31,9440000000@get.idyll,,F,153.45209603024577,"['Design', 'Vegetarian', 'Romantic', 'Singing']",S,N,False,9440000000,Divyanshi Krishna,True,U,2023-02-07T19:42:56.378Z,,F,M,True,JNU,23.0
45,,Jawaharlal Nehru University,IN,2023-02-07T19:42:56.721Z,1999-12-31,9450000000@get.idyll,,F,153.45209603024577,"['Singing', 'Design', 'Writing', 'Art & Craft']",S,S,False,9450000000,Emily Jane,True,U,2023-02-07T19:42:57.061Z,,F,M,True,JNU,24.0
46,,Jawaharlal Nehru University,IN,2023-02-07T19:42:57.395Z,2000-12-31,9460000000@get.idyll,,F,153.45209603024577,"['Singing', 'Design', 'Romantic', 'Art & Craft']",N,S,False,9460000000,Gauri rawat,True,U,2023-02-07T19:42:57.748Z,,R,M,True,JNU,23.0
47,,Jawaharlal Nehru University,IN,2023-02-07T19:42:58.090Z,2000-12-31,9470000000@get.idyll,,F,153.45209603024577,"['Festivals', 'Romantic', 'Romance', 'Vegetarian']",O,O,False,9470000000,Gracy Mistry,True,U,2023-02-07T19:42:58.426Z,,C,M,True,JNU,23.0
48,,Jawaharlal Nehru University,IN,2023-02-07T19:42:58.768Z,2000-12-31,9480000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Design', 'Writing', 'Dancing']",N,N,False,9480000000,Heena Rajput,True,U,2023-02-07T19:42:59.125Z,,R,M,True,JNU,23.0
49,,Jawaharlal Nehru University,IN,2023-02-07T19:42:59.461Z,2000-12-31,9490000000@get.idyll,,F,153.45209603024577,"['Reels', 'Romance', 'Singing', 'Festivals']",S,O,False,9490000000,Hima Smita,True,U,2023-02-07T19:42:59.812Z,,NS,M,True,JNU,23.0
50,,Jawaharlal Nehru University,IN,2023-02-07T19:43:00.145Z,2000-12-31,9500000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Romance', 'Design', 'Dancing']",S,N,False,9500000000,Ishita Tiwari,True,U,2023-02-07T19:43:00.500Z,,R,M,True,JNU,23.0
51,,Jawaharlal Nehru University,IN,2023-02-07T19:43:00.921Z,1999-12-31,9510000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Writing', 'Design', 'Dancing']",N,N,False,9510000000,Jenny Roy,True,U,2023-02-07T19:43:01.291Z,,C,M,True,JNU,24.0
52,,Jawaharlal Nehru University,IN,2023-02-07T19:43:01.624Z,2000-12-31,9520000000@get.idyll,,F,153.45209603024577,"['Open-Minded', 'Singing', 'Festivals', 'Writing']",S,O,False,9520000000,Kanika negi,True,U,2023-02-07T19:43:01.977Z,,R,M,True,JNU,23.0
53,,Jawaharlal Nehru University,IN,2023-02-07T19:43:02.319Z,1997-12-31,9530000000@get.idyll,,F,153.45209603024577,"['Open-Minded', 'Reels', 'Singing', 'Festivals']",O,N,False,9530000000,Kriti bisht,True,U,2023-02-07T19:43:02.676Z,,C,M,True,JNU,26.0
54,,Jawaharlal Nehru University,IN,2023-02-07T19:43:03.009Z,2000-12-31,9540000000@get.idyll,,F,153.45209603024577,"['Art & Craft', 'Dancing', 'Reels', 'Open-Minded']",N,S,False,9540000000,Kritika Sharma,True,U,2023-02-07T19:43:03.360Z,,R,M,True,JNU,23.0
55,,Jawaharlal Nehru University,IN,2023-02-07T19:43:03.698Z,2000-12-31,9550000000@get.idyll,,F,153.45209603024577,"['Singing', 'Dancing', 'Writing', 'Festivals']",S,O,False,9550000000,Madhavi Gangay,True,U,2023-02-07T19:43:04.031Z,,F,M,True,JNU,23.0
56,,Jawaharlal Nehru University,IN,2023-02-07T19:43:04.363Z,2000-12-31,9560000000@get.idyll,,F,153.45209603024577,"['Writing', 'Romantic', 'Dancing', 'Design']",S,S,False,9560000000,Mahek thakur,True,U,2023-02-07T19:43:04.711Z,,C,M,True,JNU,23.0
57,,Jawaharlal Nehru University,IN,2023-02-07T19:43:05.045Z,1997-12-31,9570000000@get.idyll,,F,153.45209603024577,"['Art & Craft', 'Dancing', 'Singing', 'Vegetarian']",S,N,False,9570000000,Mansha Phore,True,U,2023-02-07T19:43:05.485Z,,NS,M,True,JNU,26.0
58,,Jawaharlal Nehru University,IN,2023-02-07T19:43:05.828Z,1997-12-31,9580000000@get.idyll,,F,153.45209603024577,"['Festivals', 'Art & Craft', 'Dancing', 'Romance']",O,S,False,9580000000,Manshi Sharma,True,U,2023-02-07T19:43:06.174Z,,NS,M,True,JNU,26.0
59,,Jawaharlal Nehru University,IN,2023-02-07T19:43:06.508Z,2000-12-31,9590000000@get.idyll,,F,153.45209603024577,"['Writing', 'Dancing', 'Vegetarian', 'Reels']",O,N,False,9590000000,Mansvi rapta,True,U,2023-02-07T19:43:06.863Z,,C,M,True,JNU,23.0
60,,Jawaharlal Nehru University,IN,2023-02-07T19:43:07.205Z,1999-12-31,9600000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Singing', 'Reels', 'Writing']",O,O,False,9600000000,mayuri patiala,True,U,2023-02-07T19:43:07.552Z,,NS,M,True,JNU,24.0
61,,Jawaharlal Nehru University,IN,2023-02-07T19:43:07.893Z,2000-12-31,9610000000@get.idyll,,F,153.45209603024577,"['Romantic', 'Singing', 'Romance', 'Writing']",S,O,False,9610000000,Mini Khanal,True,U,2023-02-07T19:43:08.250Z,,F,M,True,JNU,23.0
62,,Jawaharlal Nehru University,IN,2023-02-07T19:43:08.598Z,1998-12-31,9620000000@get.idyll,,F,153.45209603024577,"['Singing', 'Festivals', 'Design', 'Romance']",N,N,False,9620000000,Mishti,True,U,2023-02-07T19:43:08.933Z,,CON,M,True,JNU,25.0
63,,Jawaharlal Nehru University,IN,2023-02-07T19:43:09.268Z,1998-12-31,9630000000@get.idyll,,F,153.45209603024577,"['Romance', 'Reels', 'Design', 'Festivals']",S,S,False,9630000000,Monika Bhattacharya,True,U,2023-02-07T19:43:09.908Z,,F,M,True,JNU,25.0
64,,Jawaharlal Nehru University,IN,2023-02-07T19:43:10.853Z,1998-12-31,9640000000@get.idyll,,F,153.45209603024577,"['Dancing', 'Reels', 'Open-Minded', 'Art & Craft']",S,N,False,9640000000,Nancy Negi,True,U,2023-02-07T19:43:12.309Z,,NS,M,True,JNU,25.0
65,,Jawaharlal Nehru University,IN,2023-02-07T19:43:14.065Z,1997-12-31,9650000000@get.idyll,,F,153.45209603024577,"['Festivals', 'Vegetarian', 'Art & Craft', 'Dancing']",O,O,False,9650000000,Neeti Kothiyal,True,U,2023-02-07T19:43:15.740Z,,C,M,True,JNU,26.0
66,,Jawaharlal Nehru University,IN,2023-02-07T19:43:17.345Z,2000-12-31,9660000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Art & Craft', 'Romantic', 'Open-Minded']",O,N,False,9660000000,Neha Sandhu,True,U,2023-02-07T19:43:19.131Z,,NS,M,True,JNU,23.0
67,,Jawaharlal Nehru University,IN,2023-02-07T19:43:20.217Z,1997-12-31,9670000000@get.idyll,,F,153.45209603024577,"['Reels', 'Romance', 'Open-Minded', 'Singing']",N,O,False,9670000000,Nidhi Singh,True,U,2023-02-07T19:43:20.769Z,,F,M,True,JNU,26.0
68,,Jawaharlal Nehru University,IN,2023-02-07T19:43:21.100Z,2000-12-31,9680000000@get.idyll,,F,153.45209603024577,"['Romance', 'Romantic', 'Festivals', 'Art & Craft']",N,O,False,9680000000,Prerna Basra,True,U,2023-02-07T19:43:21.462Z,,NS,M,True,JNU,23.0
69,,Jawaharlal Nehru University,IN,2023-02-07T19:43:21.811Z,2000-12-31,9690000000@get.idyll,,F,153.45209603024577,"['Writing', 'Design', 'Reels', 'Dancing']",O,O,False,9690000000,Priya Sharma,True,U,2023-02-07T19:43:22.149Z,,R,M,True,JNU,23.0
70,,Jawaharlal Nehru University,IN,2023-02-07T19:43:22.489Z,1997-12-31,9700000000@get.idyll,,F,153.45209603024577,"['Dancing', 'Writing', 'Romance', 'Reels']",S,N,False,9700000000,Priyanshi Sri,True,U,2023-02-07T19:43:22.824Z,,R,M,True,JNU,26.0
71,,Jawaharlal Nehru University,IN,2023-02-07T19:43:23.158Z,1997-12-31,9710000000@get.idyll,,F,153.45209603024577,"['Festivals', 'Design', 'Romantic', 'Writing']",N,N,False,9710000000,Rani Yadav,True,U,2023-02-07T19:43:23.496Z,,F,M,True,JNU,26.0
72,,Jawaharlal Nehru University,IN,2023-02-07T19:43:23.866Z,2000-12-31,9720000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Open-Minded', 'Romantic', 'Art & Craft']",S,N,False,9720000000,Rashmi Gupta,True,U,2023-02-07T19:43:24.202Z,,C,M,True,JNU,23.0
73,,Jawaharlal Nehru University,IN,2023-02-07T19:43:24.534Z,1999-12-31,9730000000@get.idyll,,F,153.45209603024577,"['Singing', 'Vegetarian', 'Romance', 'Dancing']",O,S,False,9730000000,Rima Tripathi,True,U,2023-02-07T19:43:24.879Z,,C,M,True,JNU,24.0
74,,Jawaharlal Nehru University,IN,2023-02-07T19:43:25.209Z,1998-12-31,9740000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Reels', 'Festivals', 'Singing']",O,O,False,9740000000,Riya Tanwar,True,U,2023-02-07T19:43:25.617Z,,R,M,True,JNU,25.0
75,,Jawaharlal Nehru University,IN,2023-02-07T19:43:25.947Z,1999-12-31,9750000000@get.idyll,,F,153.45209603024577,"['Design', 'Dancing', 'Writing', 'Festivals']",S,S,False,9750000000,Saanvi Shah,True,U,2023-02-07T19:43:26.290Z,,R,M,True,JNU,24.0
76,,Jawaharlal Nehru University,IN,2023-02-07T19:43:26.629Z,1998-12-31,9760000000@get.idyll,,F,153.45209603024577,"['Writing', 'Design', 'Open-Minded', 'Reels']",N,S,False,9760000000,Samaira Dhar,True,U,2023-02-07T19:43:26.970Z,,R,M,True,JNU,25.0
77,,Jawaharlal Nehru University,IN,2023-02-07T19:43:27.338Z,1998-12-31,9770000000@get.idyll,,F,153.45209603024577,"['Dancing', 'Writing', 'Open-Minded', 'Romantic']",N,N,False,9770000000,Sandhya Sahu,True,U,2023-02-07T19:43:27.688Z,,R,M,True,JNU,25.0
78,,Jawaharlal Nehru University,IN,2023-02-07T19:43:28.023Z,1997-12-31,9780000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Open-Minded', 'Writing', 'Romantic']",S,O,False,9780000000,Sapna reddy,True,U,2023-02-07T19:43:28.375Z,,C,M,True,JNU,26.0
79,,Jawaharlal Nehru University,IN,2023-02-07T19:43:28.723Z,2000-12-31,9790000000@get.idyll,,F,153.45209603024577,"['Singing', 'Open-Minded', 'Dancing', 'Reels']",O,N,False,9790000000,Saumya Das,True,U,2023-02-07T19:43:29.063Z,,NS,M,True,JNU,23.0
80,,Jawaharlal Nehru University,IN,2023-02-07T19:43:29.395Z,2001-12-31,9800000000@get.idyll,,F,153.45209603024577,"['Singing', 'Reels', 'Open-Minded', 'Festivals']",N,N,False,9800000000,Sheetal Kaul,True,U,2023-02-07T19:43:29.756Z,,R,M,True,JNU,22.0
81,,Jawaharlal Nehru University,IN,2023-02-07T19:43:30.088Z,2000-12-31,9810000000@get.idyll,,F,153.45209603024577,"['Romance', 'Vegetarian', 'Design', 'Open-Minded']",N,S,False,9810000000,Shivani Bhatt,True,U,2023-02-07T19:43:30.443Z,,CON,M,True,JNU,23.0
82,,Jawaharlal Nehru University,IN,2023-02-07T19:43:30.777Z,2000-12-31,9820000000@get.idyll,,F,153.45209603024577,"['Dancing', 'Open-Minded', 'Romance', 'Singing']",N,N,False,9820000000,Shristi Rawat,True,U,2023-02-07T19:43:31.129Z,,R,M,True,JNU,23.0
83,,Jawaharlal Nehru University,IN,2023-02-07T19:43:31.474Z,1999-12-31,9830000000@get.idyll,,F,153.45209603024577,"['Dancing', 'Design', 'Art & Craft', 'Reels']",S,N,False,9830000000,Suhu Khan,True,U,2023-02-07T19:43:31.838Z,,CON,M,True,JNU,24.0
84,,Jawaharlal Nehru University,IN,2023-02-07T19:43:32.229Z,2000-12-31,9840000000@get.idyll,,F,153.45209603024577,"['Art & Craft', 'Reels', 'Singing', 'Romantic']",O,O,False,9840000000,Sukanya jha,True,U,2023-02-07T19:43:32.579Z,,CON,M,True,JNU,23.0
85,,Jawaharlal Nehru University,IN,2023-02-07T19:43:32.909Z,1999-12-31,9850000000@get.idyll,,F,153.45209603024577,"['Reels', 'Singing', 'Dancing', 'Design']",O,S,False,9850000000,Suman Samanta,True,U,2023-02-07T19:43:33.269Z,,C,M,True,JNU,24.0
86,,Jawaharlal Nehru University,IN,2023-02-07T19:43:33.611Z,2000-12-31,9860000000@get.idyll,,F,153.45209603024577,"['Festivals', 'Romantic', 'Romance', 'Singing']",S,N,False,9860000000,Tripti Sonowal,True,U,2023-02-07T19:43:33.958Z,,R,M,True,JNU,23.0
87,,Jawaharlal Nehru University,IN,2023-02-07T19:43:34.307Z,1999-12-31,9870000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Writing', 'Design', 'Romantic']",N,O,False,9870000000,Vaishali aanand,True,U,2023-02-07T19:43:34.651Z,,F,M,True,JNU,24.0
88,,Jawaharlal Nehru University,IN,2023-02-07T19:43:34.982Z,2000-12-31,9880000000@get.idyll,,F,153.45209603024577,"['Vegetarian', 'Open-Minded', 'Singing', 'Art & Craft']",N,S,False,9880000000,Vidhi chandra,True,U,2023-02-07T19:43:35.335Z,,CON,M,True,JNU,23.0
89,,Jawaharlal Nehru University,IN,2023-02-07T19:43:35.679Z,1999-12-31,9890000000@get.idyll,,F,153.45209603024577,"['Writing', 'Romantic', 'Dancing', 'Art & Craft']",O,N,False,9890000000,Yami Yadav,True,U,2023-02-07T19:43:36.025Z,,CON,M,True,JNU,24.0
90,Have many things to tell u later...,JNU,IN,2023-02-07T22:27:46.967Z,2003-10-19,9900000000@get.idyll,,M,169.0,"['Cricket', 'Dancing', 'Dogs', 'Mystery', 'Mountains']",S,N,True,9900000000,Phopho,True,U,2023-02-07T22:50:08.104Z,,C,F,True,JNU,20.0
91,Arey bhai kya hi likhu,Maa mansha devi,IN,2023-02-08T01:26:22.926Z,2001-11-13,9910000000@get.idyll,,M,179.0,"['Cricket', 'Badminton', 'Singing', 'Anime', 'Superhero']",N,N,False,9910000000,Avinash yadav ,True,U,2023-02-08T01:31:43.281Z,,C,F,True,maa mansha devi,22.0
92,“Naughty or nice? You decide.”,Jawaharlal Nehru University,IN,2023-02-08T02:36:36.350Z,1999-12-10,9920000000@get.idyll,,M,170.0,"['Photography', 'Festivals', 'Wine', 'Hip Hop', 'Romance']",S,S,False,9920000000,K_Rahul,True,U,2023-02-08T02:47:51.620Z,,F,F,True,JNU,24.0
93,"I am honest and trustworthy.
Even though I work seriously, I do have a good sense of humor.
I am imaginative, motivated, organized and Inquisitive

Looking for an adventure partner. You in?",Jawaharlal Nehru University,IN,2023-02-08T05:05:48.776Z,2002-01-03,9930000000@get.idyll,[],M,165.0,"['Photography', 'Badminton', 'Basketball', 'Running', 'Mountains']",N,N,True,9930000000,Nishchhal007,True,U,2023-02-25T06:37:24.116Z,2023-02-22T17:34:11.333Z,F,F,True,JNU,21.0
94,"Hello, I am Ayush
",Jawaharlal Nehru University,IN,2023-02-08T05:06:48.213Z,2002-06-29,9940000000@get.idyll,"[92.9436206817627,97.01827764511108,67.23251938819885,97.85847663879395]",M,1.72,"['Singing', 'Photography', 'Cricket', 'Dogs', 'Cooking']",S,N,False,9940000000,Ayush Gupta,True,U,2023-02-14T15:27:15.404Z,,C,F,True,JNU,21.0
98,Hey,IIT Delhi,IN,2023-02-08T09:37:45.820Z,2001-07-12,9980000000@get.idyll,,M,153.45209603024577,"['Cats', 'Thriller', 'Mystery', 'Horror', 'Mountains']",N,N,False,9980000000,Anish,True,U,2023-02-08T09:43:00.782Z,,R,F,True,IITD,22.0
101,I am in the lowest point of my success curve but not in a worst situation.,Heritage institute of technology ,IN,2023-02-08T13:31:50.889Z,2002-06-14,9101000000@get.idyll,,M,165.0,"['Tea', 'Gym', 'Bollywood', 'Family Oriented', 'Open-Minded']",N,N,False,9101000000,Aniket Mishra ,True,U,2023-02-08T13:56:19.289Z,,R,F,True,HERITAGE,21.0
103,"Medically tested, ethically pretty questionable.",Jawaharlal Nehru University,IN,2023-02-08T13:47:09.051Z,2003-08-03,9103000000@get.idyll,[69.86790001392365],M,153.45209603024577,"['Anime', 'Hip Hop', 'Mystery', 'Open-Minded', 'Ambitions']",N,N,True,9103000000,Adarsh Kumar,True,U,2023-02-20T06:42:16.244Z,,NS,F,True,JNU,20.0
104,"Tech nerd, Anime and video games fan",Jawaharlal Nehru University,IN,2023-02-08T14:01:08.838Z,2002-03-02,9104000000@get.idyll,,M,168.0,"['Video Games', 'Biryani', 'Animated', 'Sci-fi', 'Superhero']",N,N,True,9104000000,BHARATH REDDY ELLANKI ,True,U,2023-02-15T14:17:29.945Z,2023-02-15T14:17:29.944Z,C,F,True,JNU,21.0
113,Nothing ,JNU,IN,2023-02-08T14:19:25.384Z,1997-10-15,9113000000@get.idyll,,M,5.6,"['Writing', 'Reels', 'Photography']",N,N,False,9113000000,Asif,True,U,2023-02-08T14:22:43.463Z,,CON,M,False,JNU,26.0
114,Nothing ,Jnu,IN,2023-02-08T14:24:48.670Z,2003-11-05,9114000000@get.idyll,,M,5.7,"['Dancing', 'Volleyball', 'Cricket', 'Photography', 'Ambitions']",S,N,True,9114000000,Santhosh ,True,U,2023-02-15T14:17:29.945Z,2023-02-15T14:17:29.944Z,F,F,True,JNU,20.0
